"Zeitstempel","Benutzername (auf dem Zettel)","Wie schätzt du die Programmierkenntnisse deines Gegners ein?","Wie einfallsreich hat sich dein Gegner verhalten?","Wie herausfordernd war es, gegen deinen Gegner zu spielen?","Wie viel Spaß hattest du an dem Spiel?","Glaubst du, dein Gegner war ein Mensch oder eine KI?","Woran hast du das festgemacht?","Kannst du dir vorstellen, in Zukunft auch von dir aus CodeDefenders gegen LLM-Spieler zu spielen?","Warum/Warum nicht?","Hast du noch Anmerkungen/Kritik/Verbesserungsvorschläge?"
"2026/02/03 9:42:56 AM MEZ","FridayTelephone ","5","3","3","3","5","Sehr viele Tests. Kein Mensch würde so viele Tests schreiben und sich erst einer schwer verständlichen Methode widmen, wo es kaum Mutanten gibt, anstatt einer kurzen einfachen Methode, die viele Mutanten beinhaltet, es sei denn er steht auf Schmerzen.","2","Wenn ich mitbekomme wie stark die KI ist, dann Zweifel ich oft, dass man als Mensch besser ist.",""
"2026/02/03 1:34:26 PM MEZ","FridayCollege","4","4","4","4","1","","3","",""
"2026/02/03 1:34:39 PM MEZ","DesertTelephone","4","4","3","4","4","Es sind sehr schnell Tests entstanden","5","",""
"2026/02/03 1:34:52 PM MEZ","CollegeEarnest","2","1","2","4","1","Er ist eine Zeit lang afk gewesen ","5","Sehr herausfordernd ","Nein"
"2026/02/03 1:35:37 PM MEZ","HobbitCollege","3","3","3","3","3","Mutanten schreiben is nicht so schwer","1","Ich werde in Zukunft auch nicht gegen Menschen spielen",""
"2026/02/03 1:36:03 PM MEZ","CollegeOwl ","3","2","2","2","1","Sie konnten einfache Mutanten nicht besiegen.","3","Weil es zu gut ist und den Spaß verderben würde. Gegen so eins kann man nicht gewinnen.",""
"2026/02/03 1:36:04 PM MEZ","OwlDesert","1","1","1","2","3","","1","Denke das ist den Rechenaufwand nicht wert",""
"2026/02/03 1:36:13 PM MEZ","FridayDesert","4","4","3","3","3","Unsicher,  konstant antworten , aber tests wirken merkwürdig weil sie oft nur konkretes lösen und dann nicht weiter machen obwohl es noch Mutanten in Methode Methode gab.","3","Wenn sie sich gut verhalten ja.",""
"2026/02/03 1:36:57 PM MEZ","HobbitEarnest","3","2","2","4","1","Schien während der ersten Hälfte des Spiels inaktiv zu sein und war erkannte nur eher einfachere Mutanten.","4","Deren Leistung ist konstant ",""
"2026/02/03 1:37:17 PM MEZ","HobbitHobbit","4","4","3","2","5","Viele Test bei unterschiedlichen Methode in sehr kurzen Intervallen jeweils. Bei größeren Methoden sehr schnell Tests, die mehrere Fälle abgedeckt haben.","4","Ich kann mir gut vorstellen, dass die KI besser wird und auch unerkannt bleiben kann, wenn versucht wird, gewisse Patterns intransparenter zu gestalten.","Zeitintervalle (vgl. Warum Frage)"
"2026/02/03 1:38:30 PM MEZ","HobbitVenice","4","4","5","3","4","Nur 2 Mutanten, dafür sehr viele Änderungen auf einmal. Außerdem nur eine Funktion mutiert. Kleinere verteilte Mutationen wären für Menschen viel wahrscheinlicher","3","",""
"2026/02/03 1:39:16 PM MEZ","FridayFriday","3","1","1","2","1","Wie ein Arschloch gespielt, überall Math.min mit einer Magic Number eingefügt, damit man die Zahl erraten muss. Offensichtlich wollte er nur den Defender übers Ohr hauen.","3","Wirkt unausgereift, greift nur eine Methode an, ändert immer mehrere Zeilen auf einmal.","Es muss irgendwas gegen die java.util.Math Meta getan werden. Damit kann man viel zu leicht Punkte als Angreifer farmen und die Zeit vom Defender verschwenden. Und mehr als zwei Assertions auf einmal."
