id,game_id,points,stillborn,survived,declared_equivalent,points_until_equivalent,llm_or_human,opponent_llm_or_human,seconds_since_gamestart,cut,mutated_lines,number_mutated_lines,number_of_messages,author_nickname,author_age,author_degree,author_semester,author_java_experience,author_junit_experience,author_correct_question,opponent_nickname,opponent_age,opponent_degree,opponent_semester,opponent_java_experience,opponent_junit_experience,opponent_correct_question,experiment_round,author_opinion_judged_programming_skill,author_opinion_judged_original,author_opinion_challenged,author_opinion_fun,author_opinion_human_or_ai,opponent_opinion_judged_programming_skill,opponent_opinion_judged_original,opponent_opinion_challenged,opponent_opinion_fun,opponent_opinion_human_or_ai,human_tests_survived,human_tests_killed_by,llm_tests_survived,llm_tests_killed_by,existing_tests_survived,existing_tests_killed_by,future_tests_survived,future_tests_killed_by
u530,325,0,YES,NO,NO,,LLM,Human,613,ByteVector,"185,186,191,193,208,209,210",7,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,28,7,300,409,1,1,1,0
u535,325,4,NO,YES,NO,,LLM,Human,640,ByteVector,"185,191,193,194,195,197,208,210",8,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,32,3,441,268,2,0,1,0
u549,325,4,NO,YES,NO,,LLM,Human,699,ByteVector,"185,191,193,208,210,215",6,3.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,33,2,405,304,2,0,1,0
u570,325,0,YES,NO,NO,,LLM,Human,821,ByteVector,"181,182,185,191,193,199,200,208,210",9,3.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,28,10,123,586,1,1,1,1
u577,325,0,YES,NO,NO,,LLM,Human,853,ByteVector,"185,191,193,208,210,223",6,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,29,9,122,587,1,1,2,0
u581,325,0,YES,NO,NO,,LLM,Human,882,ByteVector,"182,185,191,193,200,208,210",7,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,28,10,123,586,2,1,0,1
u584,325,0,YES,NO,NO,,LLM,Human,910,ByteVector,"185,191,193,208,210,223",6,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,29,9,696,13,2,1,1,0
u589,325,5,NO,YES,NO,,LLM,Human,941,ByteVector,"185,191,193,208,210,219,222",7,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,38,0,709,0,3,0,1,0
u592,325,1,NO,YES,NO,,LLM,Human,968,ByteVector,156,1,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,8,4,32,59,0,0,0,0
u594,325,1,NO,YES,NO,,LLM,Human,997,ByteVector,"148,149,150,152,153,154,156,157",8,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,7,5,33,58,0,0,0,0
u596,325,1,NO,YES,NO,,LLM,Human,1027,ByteVector,"147,152",2,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,6,6,33,58,0,0,0,0
u604,325,1,NO,YES,NO,,LLM,Human,1058,ByteVector,"153,154,155,157",4,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,8,4,33,58,0,0,0,0
u609,325,1,NO,YES,NO,,LLM,Human,1087,ByteVector,156,1,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,7,5,33,58,0,0,0,0
u614,325,1,NO,YES,NO,,LLM,Human,1117,ByteVector,156,1,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,11,1,83,8,0,0,0,0
u620,325,1,NO,YES,NO,,LLM,Human,1147,ByteVector,"155,157",2,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,8,4,33,58,0,0,0,0
u627,325,1,NO,YES,NO,,LLM,Human,1191,ByteVector,"151,156",2,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,10,2,32,59,0,0,0,0
u633,325,1,NO,YES,NO,,LLM,Human,1238,ByteVector,"153,154,156",3,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,11,1,46,45,0,0,0,0
u637,325,1,NO,YES,NO,,LLM,Human,1282,ByteVector,151,1,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,11,1,45,46,0,0,0,0
u645,325,1,NO,YES,NO,,LLM,Human,1328,ByteVector,153,1,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,11,1,32,59,0,0,0,0
u652,325,1,NO,YES,NO,,LLM,Human,1371,ByteVector,"153,154,157",3,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,8,4,33,58,0,0,0,0
u660,325,1,NO,YES,NO,,LLM,Human,1417,ByteVector,156,1,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,7,5,33,58,0,0,0,0
u665,325,0,YES,NO,NO,,LLM,Human,1450,ByteVector,"182,185,186,191,193,200,208,209,210,211,212,213,215,216",14,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,29,9,147,562,2,1,1,0
u676,325,1,NO,YES,NO,,LLM,Human,1508,ByteVector,156,1,3.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,10,2,32,59,0,0,0,0
u687,325,1,NO,YES,NO,,LLM,Human,1582,ByteVector,"153,157",2,4.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,8,4,33,58,0,0,0,0
u692,325,1,NO,YES,NO,,LLM,Human,1612,ByteVector,156,1,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,10,2,32,59,0,0,0,0
u702,325,1,NO,YES,NO,,LLM,Human,1688,ByteVector,156,1,4.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,7,5,33,58,0,0,0,0
u706,325,1,NO,YES,NO,,LLM,Human,1732,ByteVector,156,1,2.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,10,2,32,59,0,0,0,0
u710,325,1,NO,YES,NO,,LLM,Human,1763,ByteVector,156,1,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,8,4,33,58,0,0,0,0
u715,325,1,NO,YES,NO,,LLM,Human,1793,ByteVector,151,1,1.0,,,,,,,,CollegeTelephone,22.0,Lehramt Informatik,6.0,5.0,1.0,5.0,1.0,,,,,,3.0,3.0,3.0,3.0,3.0,7,5,46,45,0,0,0,0
u318,324,4,NO,YES,NO,,LLM,Human,26,ByteVector,"185,186,191,193,208,209,210",7,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,7,300,409,0,0,8,2
u334,324,4,NO,YES,NO,,LLM,Human,55,ByteVector,"185,191,193,194,195,197,208,210,214,215,216,218",12,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,6,191,518,0,0,10,0
u344,324,7,NO,NO,NO,,LLM,Human,80,ByteVector,"45,46,47,48",4,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,14,24,69,309,1,0,8,2
u357,324,7,NO,NO,NO,,LLM,Human,110,ByteVector,48,1,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,73,305,1,0,9,1
u369,324,7,NO,NO,NO,,LLM,Human,140,ByteVector,48,1,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,73,305,1,0,9,1
u381,324,7,NO,NO,NO,,LLM,Human,170,ByteVector,"45,46,47,48",4,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,14,24,74,304,2,0,7,2
u392,324,0,YES,NO,YES,10.0,LLM,Human,200,ByteVector,"45,46,48",3,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,33,5,378,0,2,0,9,0
u403,324,7,NO,NO,NO,,LLM,Human,231,ByteVector,"46,48",2,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,27,11,71,307,3,0,6,2
u421,324,7,NO,NO,NO,,LLM,Human,275,ByteVector,48,1,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,73,305,3,0,7,1
u436,324,7,NO,NO,NO,,LLM,Human,306,ByteVector,"46,48",2,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,27,11,71,307,4,0,5,2
u449,324,7,NO,NO,NO,,LLM,Human,350,ByteVector,"46,48",2,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,27,11,73,305,4,0,6,1
u462,324,4,NO,NO,NO,4.0,LLM,Human,395,ByteVector,46,1,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,8,4,75,5,0,0,4,1
u476,324,7,NO,NO,NO,,LLM,Human,440,ByteVector,48,1,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,73,305,6,0,4,1
u494,324,7,NO,NO,NO,,LLM,Human,500,ByteVector,48,1,3.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,73,305,6,0,4,1
u504,324,7,NO,NO,NO,,LLM,Human,530,ByteVector,"45,46,47,48",4,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,16,22,69,309,6,0,3,2
u518,324,0,YES,NO,NO,,LLM,Human,576,ByteVector,48,1,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,20,18,17,361,0,6,1,4
u526,324,7,NO,NO,NO,,LLM,Human,606,ByteVector,48,1,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,73,305,6,0,4,1
u539,324,0,YES,NO,NO,,LLM,Human,650,ByteVector,"48,49",2,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,22,16,20,358,0,6,3,2
u548,324,7,NO,NO,NO,,LLM,Human,695,ByteVector,"46,48",2,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,27,11,73,305,6,0,4,1
u559,324,0,YES,NO,NO,,LLM,Human,755,ByteVector,48,1,3.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,73,305,6,1,4,0
u565,324,4,NO,YES,NO,,LLM,Human,789,ByteVector,"185,191,193,208,210,216",6,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,34,1,591,118,0,0,10,0
u574,324,3,NO,NO,NO,3.0,LLM,Human,835,ByteVector,"181,182,185,191,193,199,208,210",8,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,27,11,123,586,0,0,5,5
u579,324,3,NO,NO,NO,3.0,LLM,Human,872,ByteVector,"185,191,193,208,210,222",6,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,10,127,582,0,0,5,5
u586,324,0,YES,NO,NO,,LLM,Human,921,ByteVector,48,1,3.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,78,300,7,1,3,0
u590,324,0,YES,NO,NO,,LLM,Human,966,ByteVector,48,1,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,9,73,305,7,1,3,0
u595,324,4,NO,YES,NO,,LLM,Human,998,ByteVector,"185,191,193,199,208,210",6,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,30,5,227,482,2,0,8,0
u597,324,4,NO,YES,NO,,LLM,Human,1029,ByteVector,"185,191,193,208,210,219",6,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,35,0,709,0,2,0,8,0
u605,324,4,NO,YES,NO,,LLM,Human,1061,ByteVector,"185,186,191,193,208,209,210",7,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,7,300,409,2,0,6,2
u610,324,3,NO,NO,NO,3.0,LLM,Human,1089,ByteVector,"185,191,193,208,210,222",6,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,19,19,114,595,2,0,2,6
u615,324,3,NO,NO,NO,3.0,LLM,Human,1121,ByteVector,"182,185,186,191,193,200,208,209,210,211,212,213,215,216",14,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,31,7,300,409,2,0,6,2
u621,324,4,NO,YES,NO,,LLM,Human,1164,ByteVector,"185,191,193,208,210,219",6,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,35,0,709,0,2,0,8,0
u629,324,4,NO,YES,NO,,LLM,Human,1209,ByteVector,"185,186,191,193,208,209,210",7,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,7,300,409,2,0,6,2
u635,324,4,NO,YES,NO,,LLM,Human,1264,ByteVector,"185,191,193,208,210",5,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,34,1,698,11,2,0,8,0
u643,324,4,NO,YES,NO,,LLM,Human,1317,ByteVector,"185,186,191,193,208,209,210",7,3.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,7,300,409,2,0,6,2
u653,324,3,NO,NO,NO,3.0,LLM,Human,1385,ByteVector,"185,191,193,208,210,223",6,3.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,10,166,543,3,0,6,1
u658,324,4,NO,NO,NO,4.0,LLM,Human,1414,ByteVector,"182,185,191,193,200,208,210",7,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,10,123,586,2,1,3,4
u664,324,4,NO,YES,NO,,LLM,Human,1450,ByteVector,"185,186,191,193,208,209,210",7,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,31,4,311,398,5,1,3,1
u669,324,4,NO,YES,NO,,LLM,Human,1473,ByteVector,"185,191,193,194,195,197,208,210,214,215,216",11,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,29,6,197,512,6,0,4,0
u673,324,4,NO,NO,NO,4.0,LLM,Human,1502,ByteVector,"182,185,191,193,208,210",6,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,30,8,590,119,4,2,1,3
u688,324,4,NO,YES,NO,,LLM,Human,1593,ByteVector,"185,191,193,208,210",5,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,34,1,698,11,6,0,4,0
u696,324,4,NO,NO,NO,4.0,LLM,Human,1654,ByteVector,"185,191,193,208,210,223",6,3.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,10,166,543,5,1,4,0
u700,324,4,NO,NO,NO,4.0,LLM,Human,1685,ByteVector,"182,185,186,191,193,200,208,209,210",9,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,31,7,300,409,5,1,3,1
u705,324,4,NO,YES,NO,,LLM,Human,1728,ByteVector,"185,191,193,199,208,210",6,2.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,32,3,242,467,7,0,3,0
u708,324,4,NO,YES,NO,,LLM,Human,1759,ByteVector,"185,186,191,193,208,209,210",7,1.0,,,,,,,,VeniceDesert,20.0,Bachelor Internet Computing,3.0,5.0,2.0,3.0,1.0,,,,,,3.0,2.0,4.0,2.0,5.0,28,7,300,409,6,1,2,1
u313,322,2,NO,NO,NO,,Human,Human,17,ByteVector,23,1,,DesertEarnest,20.0,Artificial Intelligence,2.0,5.0,2.0,5.0,EarnestTelephone,57.0,Bachelor Internet Computing,3.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,38,17,174,34,0,0,1,1
u319,322,2,NO,NO,NO,,Human,Human,30,ByteVector,23,1,,DesertEarnest,20.0,Artificial Intelligence,2.0,5.0,2.0,5.0,EarnestTelephone,57.0,Bachelor Internet Computing,3.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,38,17,174,34,0,0,1,1
